name,address,city,country,postal,phone,email
Андрій Мельник,вул. Хрещатик 24,Київ,UA,01001,+380501234567,andrii.melnyk@test.com
Оксана Шевченко,пл. Ринок 10,Львів,UA,79008,+380679876543,oksana.shev@example.com
Василь Коваленко,вул. Незалежності 45,Івано-Франківськ,UA,76018,+380631112233,vasyl.koval@mail.ua
Марія Бондаренко,вул. Сумська 15,Харків,UA,61000,+380992223344,mariia.bond@test.net
Тарас Бойко,вул. Дерибасівська 12,Одеса,UA,65026,+380975556677,taras.boyko@meta.ua
Юлія Ткаченко,пр. Дмитра Яворницького 50,Дніпро,UA,49000,+380667778899,yulia.tkach@gmail.com
Сергій Кравчук,вул. Соборна 32,Вінниця,UA,21050,+380930001122,serhii.krav@ukr.net
Наталія Лисенко,вул. Руська 18,Тернопіль,UA,46001,+380509998877,natalie.lys@proton.me
Дмитро Поліщук,вул. Київська 77,Житомир,UA,10003,+380684445566,dmytro.pol@i.ua
Олексій Гаврилюк,вул. Головна 25,Чернівці,UA,58002,+380951231234,oleksiy.havr@yahoo.com
